"CountryID","Country.Name","WEBNAME","Region","World.Rank","Property.Rights","Judical.Effectiveness","Trade.Freedom","Corporate.Tax.Rate....","Unemployment....","Inflation...."
23,"Bulgaria","Bulgaria","Europe",36,64.2,45.4,86.4,10,5.3,2.631
24,"Burkina Faso","BurkinaFaso","Sub-Saharan Africa",117,46.9,42.6,61.8,28,6.1,2
25,"Burma","Burma","Asia-Pacific",141,32.5,14.3,70.8,30,1.6,5.944
26,"Burundi","Burundi","Sub-Saharan Africa",166,24.9,26.9,68.2,35,1.5,1.238
27,"Cambodia","Cambodia","Asia-Pacific",113,43.1,28.1,65.4,20,1.1,1.302
28,"Cameroon","Cameroon","Sub-Saharan Africa",145,45.3,30.8,59.6,33,3.4,2.387
29,"Canada","Canada","Americas",9,87.7,72.7,87,15,5.9,0.942
30,"Cabo Verde","CaboVerde","Sub-Saharan Africa",76,47.5,48,68.2,30,12.3,2.243
31,"Central African Republic","CentralAfricanRepublic","Sub-Saharan Africa",159,38.1,31.7,47.2,30,6.5,3
32,"Chad","Chad","Sub-Saharan Africa",161,32.4,27.4,47.2,45,2.2,2.483
33,"Chile","Chile","Americas",15,69.9,61.1,89,27,7.2,2.318
34,"China","China","Asia-Pacific",103,60.9,76.3,72.4,25,4.4,2.1
35,"Colombia","Colombia","Americas",45,61.1,32.8,81.2,33,9.1,3.238
36,"Comoros","Comoros","Sub-Saharan Africa",143,43.1,31.7,59.2,50,3.7,2
37,"Congo, Democratic Republic of the Congo","DemcoraticRepublicCongo","Sub-Saharan Africa",162,30.1,26.5,64.6,40,4.2,29.3
38,"Congo, Republic of","RepublicCongo","Sub-Saharan Africa",176,40.7,30,56.8,34,10.4,1.153
39,"Costa Rica","CostaRica","Americas",68,66.7,54.4,81.4,30,8.1,2.312
40,"Côte d'Ivoire","CoeDivoire","Sub-Saharan Africa",101,48.5,33,69.4,25,2.5,0.284
41,"Croatia","Croatia","Europe",84,69.9,39.6,86.4,18,8.9,1.5
42,"Cuba","Cuba","Americas",178,20.1,10,65.6,30,2.3,6.9
43,"Cyprus","Cyprus","Europe",37,77.4,50.5,86.4,12.5,8.1,0.784
44,"Czech Republic","CzechRepublic","Europe",23,76.8,49.9,86.4,19,2.4,2.158
45,"Denmark","Denmark","Europe",8,86.3,84.6,86.4,23.5,5,0.709
46,"Djibouti","Djibouti","Sub-Saharan Africa",151,58.8,31.7,49.8,25,11.1,-0.136
47,"Dominica","Dominica","Americas",97,59.8,62.6,68.4,30,0,1.359
48,"Dominican Republic","DominicanRepublic","Americas",95,55.8,18.2,76.6,27,5.8,3.564
49,"Ecuador","Ecuador","Americas",158,40.4,20.7,66,25,3.9,-0.224
50,"Egypt","Egypt","Middle East and North Africa",142,48.5,51.2,70.2,23,11.4,20.86
51,"El Salvador","ElSalvador","Americas",90,41.6,30.1,80.8,30,4.4,1.088
52,"Equatorial Guinea","EquatorialGuinea","Sub-Saharan Africa",167,38.1,19.5,48.8,35,9.2,1.346
53,"Eritrea","Eritrea","Sub-Saharan Africa",177,32.5,14.3,69.2,30,6.5,9
54,"Estonia","Estonia","Europe",10,83.2,73.7,86.4,20,5.5,3.412
156,"Eswatini","Eswatini","Sub-Saharan Africa",131,49.8,42.4,88.6,28,22.5,4.825
55,"Ethiopia","Ethiopia","Sub-Saharan Africa",146,36.5,45.1,60.8,30,1.8,13.815
56,"Fiji","Fiji","Asia-Pacific",77,69.9,42.6,52.8,20,4.2,4.08
57,"Finland","Finland","Europe",20,92.3,80.5,86.4,20,7.8,1.169
58,"France","France","Europe",64,85.9,71.2,81.4,31,9.2,2.102
59,"Gabon","Gabon","Sub-Saharan Africa",118,36.9,20.8,51.2,30,19.5,4.773
60,"Gambia","Gambia","Sub-Saharan Africa",123,43.9,43.4,64.6,32,8.9,6.524
61,"Georgia","Georgia","Europe",12,68.6,57.9,88.6,15,14.1,2.615
62,"Germany","Germany","Europe",27,80.5,74.3,86.4,15.8,3.4,1.927
63,"Ghana","Ghana","Sub-Saharan Africa",104,52.5,46.1,63.8,25,6.7,9.837
64,"Greece","Greece","Europe",100,57,48.6,81.4,28,19.2,0.774
65,"Guatemala","Guatemala","Americas",73,45.5,32.2,82.2,31,2.7,3.752
66,"Guinea","Guinea","Sub-Saharan Africa",121,38.7,33.3,60.4,35,3.6,9.7
67,"Guinea-Bissau","GuineaBissau","Sub-Saharan Africa",148,41.3,48.4,49,25,4.1,1.404
68,"Guyana","Guyana","Americas",124,53.6,42.6,66.8,40,12.2,1.296
69,"Haiti","Haiti","Americas",153,16.4,23.3,67,30,13.5,13.478
70,"Honduras","Honduras","Americas",93,48.6,34.2,79.4,25,4.1,4.348
71,"Hong Kong","HongKong","Asia-Pacific",2,93.6,76.8,95,16.5,2.8,2.408
72,"Hungary","Hungary","Europe",62,64.8,45.7,86.4,19,3.7,2.849
73,"Iceland","Iceland","Europe",13,87.6,63.2,86.8,20,2.9,2.683
74,"India","India","Asia-Pacific",120,63,64.1,73.4,32.44,2.6,3.48
75,"Indonesia","Indonesia","Asia-Pacific",54,59.8,56.2,80.8,25,4.3,3.198
